page,page_title,active_visitors
irs.gov/uac/irs-urges-public-to-stay-alert-for-scam-phone-calls,IRS Urges Public to Stay Alert for Scam Phone Calls,28
nlm.nih.gov/medlineplus/,MedlinePlus - Health Information from the National Library of Medicine,28
socialsecurity.gov/agency/contact/,Contact Social Security,28
studentaid.ed.gov/sa/repay-loans,How to Repay Your Loans | Federal Student Aid,28
usajobs.gov/getjob/viewdetails/424038900,USAJOBS - Search Jobs,28
uscis.gov/e-verify,E-Verify | USCIS,28
whitehouse.gov/contact,Submit Your Comments and Questions Online | whitehouse.gov,28
bls.gov/,U.S. Bureau of Labor Statistics,27
cdc.gov/std/bv/stdfact-bacterial-vaginosis.htm,STD Facts - Bacterial Vaginosis,27
drugabuse.gov/publications/drugfacts/heroin,DrugFacts: Heroin | National Institute on Drug Abuse (NIDA),27
faa.gov/news/press_releases/news_story.cfm?newsid=19856,Press Release – FAA Announces Small UAS Registration Rule,27
gsaadvantage.gov/advantage/main/start_page.do,Welcome to GSA Advantage!,27
irs.gov/filing/individuals/amended-returns-(form-1040-x)/wheres-my-amended-return-1,"Where's My Amended Return?",27
irs.gov/uac/about-form-1095-c,"Form 1095-C, Employer-Provided Health Insurance Offer and Coverage Insurance",27
sm.myhealth.va.gov/mhv-sm-web/reply.action,My HealtheVet - Secure Messaging - Read Message,27
socialsecurity.gov/retire/estimator.html,Retirement Estimator,27
studentaid.ed.gov/sa/my-student-aid,My Student Aid | Federal Student Aid,27
travel.state.gov/content/visas/en/law-and-policy/bulletin.html,Visa Bulletin,27
treasury.gov/tigta/contact_report_scam.shtml,Contact: IRS Impersonation Scam Reporting - U.S. Treasury Inspector General for Tax Administration (TIGTA),27
tsa.gov/travel/security-screening/identification,Identification | Transportation Security Administration,27
whitehouse.gov/administration/cabinet,The Cabinet | whitehouse.gov,27
benefits.va.gov/benefits/,Veterans Benefits Administration Home,26
cbp.gov/,"U.S. Customs and Border Protection | Securing America's Borders",26
data.bls.gov/search/query/results?cx=013738036195919377644:6ih0hfrgl50,BLS Search Results,26
ebenefits.va.gov/ebenefits/vonapp,Veteran On-Line Application (VONAPP) - eBenefits,26
irs.gov/individuals/payment-plans-installment-agreements,"Payment Plans, Installment Agreements",26
my.usajobs.gov/applicant/myaccount/home,My Account - Home,26
nasa.gov/multimedia/imagegallery/iotd.html,NASA Image of the Day | NASA,26
socialsecurity.gov/agency/contact/phone.html,Contact Social Security By Phone,26
socialsecurity.gov/forms/apply-for-benefits.html,Apply for Social Security Benefits,26
socialsecurity.gov/hlp/global/hlp-statement-7004-revi.htm,Request For Social Security Statement (SSA-7004),26
travel.state.gov/content/visas/en/general/wait-times.html/,Visa Appointment & Processing Wait Times,26
wrh.noaa.gov/mfr/,National Weather Service - NWS Medford,26
apps.irs.gov/app/scripts/exit.jsp?dest=https://payusatax.com/,IRS Disclaimer,25
choosemyplate.gov/games,Games | Choose MyPlate,25
hhs.gov/,HHS.gov,25
irs.gov/affordable-care-act/employers/questions-and-answers-about-information-reporting-by-employers-on-form-1094-c-and-form-1095-c,Questions and Answers about Information Reporting by Employers on Form 1094-C and Form 1095-C,25
"irs.gov/retirement-plans/plan-participant,-employee/retirement-topics-ira-contribution-limits",Retirement Topics - IRA Contribution Limits,25
nasa.gov/centers/marshall/news/news/releases/2015/piece-by-piece-nasa-team-moves-closer-to-building-a-3-d-printed-rocket-engine.html,NASA Team Moves Closer to Building a 3-D Printed Rocket Engine | NASA,25
nlm.nih.gov/medlineplus/spanish/ency/article/001504.htm,Quistes ováricos: MedlinePlus enciclopedia médica,25
sm.myhealth.va.gov/mhv-sm-web/replysubmit.action,My HealtheVet - Secure Messaging - Inbox,25
uspto.gov/learning-and-resources/fees-and-payment/uspto-fee-schedule,USPTO Fee Schedule | USPTO,25
wrh.noaa.gov/mtr/,National Weather Service - NWS San Francisco/Monterey Bay Area,25
apps.irs.gov/app/picklist/list/formspublications.html,Forms and Publications (PDF),24
bls.gov/cpi/,Consumer Price Index (CPI),24
ceac.state.gov/ctrac/invoice/invoice.aspx?node=invoice,Invoice Page,24
ceac.state.gov/genniv/general/review/review_reviewtravel.aspx?node=reviewtravel,Non-Immigrant Visa - Review Travel Information,24
disasterassistance.gov/,Home | DisasterAssistance.gov | Access to Disaster Help and Resources,24
eauth.va.gov/ebenefits/profile,Profile - eBenefits,24
egov.uscis.gov/casestatus/mycasestatus.do,myUSCIS - Estado de Caso,24
gsaauctions.gov/gsaauctions/aucitsrh/,"GSA Auctions, General Services Administration, Government Site for Auctions",24
irs.gov/businesses/small-businesses-&-self-employed/lost-or-misplaced-your-ein,Lost or Misplaced Your EIN?,24
irs.gov/uac/newsroom/irs-announces-2016-pension-plan-limitations,"IRS Announces 2016 Pension Plan Limitations; 401(k) Contribution Limit Remains Unchanged at $18,000 for 2016",24
irs.gov/uac/newsroom/irs-warns-of-pervasive-telephone-scam,IRS Warns of Pervasive Telephone Scam,24
mobile.weather.gov/,NWS Mobile Weather,24
myhealth.va.gov/mhv-portal-web/anonymous.portal?_nfpb=true&_nfto=false&_pagelabel=mhvhome&wt.ac=splash_mhvhome_enterbox,My HealtheVet,24
myhealth.va.gov/mhv-portal-web/anonymous.portal?_nfpb=true&_windowlabel=loginportlet_homepage&loginportlet_homepage_actionoverride=/gov/va/med/mhv/usermgmt/portlet/login/login&_pagelabel=homerightnavloginpage,My HealtheVet,24
nlm.nih.gov/medlineplus/spanish/ency/article/003097.htm,Ganglios linfáticos inflamados: MedlinePlus enciclopedia médica,24
portal.fmcsa.dot.gov/wps/myportal/enforcement/e/home/!ut/p/a1/hy4xd4iweiv_cwnr7wru4ty4aagoxeshi6kkbvn6pfr-v2gcew97l9-xdyagb2hk0cjpgjjsv7nyxby7vo_wksjgsytbktsgsrzifahhobgb_hec__lneppi4gvmtcqglkbr592cm2sykxc2repbwva0y1071_ubh33sydqpwdxeesnu5jiiwudnqjftdk29g3xkgq7n8bhuq8o97wxxje_h/dl5/d5/l2dbisevz0fbis9nqseh/,FMCSA Portal,24
spc.noaa.gov/products/,Storm Prediction Center Forecast Products,24
studentaid.ed.gov/sa/types/grants-scholarships/finding-scholarships,Finding and Applying for Scholarships | Federal Student Aid,24
treasurydirect.gov/indiv/tools/tools_savingsbondcalc.htm,Individual - Savings Bond Calculator,24
treasurydirect.gov/survey.htm,Individual,24
uscg.mil/,US Coast Guard Home,24
cdc.gov/std/trichomonas/stdfact-trichomoniasis.htm,STD Facts - Trichomoniasis,23
ceac.state.gov/ctrac/invoice/receipt.aspx?node=receipt,Receipt Page,23
ceac.state.gov/genniv/general/complete/complete_travelcompanions.aspx?node=travelcompanions,Nonimmigrant Visa - Travel Companions Information,23
ceac.state.gov/genniv/general/esign/signtheapplication.aspx?node=signcertify,Nonimmigrant Visa - Sign and Submit,23
dhs.gov/,Homeland Security,23
evisaforms.state.gov/make_barcode.asp?pc=erb,NIV Appointment System,23
fbo.gov/?s=opportunity&mode=list&tab=searchresults,Opportunities - Federal Business Opportunities: Opportunities,23
gsaauctions.gov/gsaauctions/gsaauctions/,"GSA Auctions, General Services Administration, Government Site for Auctions",23
irs.gov/individuals/understanding-your-irs-notice-or-letter,Understanding Your IRS Notice or Letter,23
my.uscis.gov/findadoctor,USCIS - Find a Doctor,23
myhealth.va.gov/mhv-portal-web/mhv.portal?_nfpb=true&_pagelabel=prescriptionshiso,My HealtheVet,23
myhealthevet.va.gov/index.html,My HealtheVet - The Gateway to Veteran Health and Wellness,23
nasa.gov/feature/jpl/rocks-rich-in-silica-present-puzzles-for-mars-rover-team/,Rocks Rich in Silica Present Puzzles for Mars Rover Team | NASA,23
nasa.gov/multimedia/nasatv/,NASA Television | NASA,23
npdb.hrsa.gov/,The NPDB - Health Care Organizations Sign In,23
nps.gov/alca/index.htm,Alcatraz Island (U.S. National Park Service),23
portal.hud.gov/hudportal/hud?src=/topics/limited_denials_of_participation,Limited Denials of Participation/U.S. Department of Housing and Urban Development (HUD),23
socialsecurity.gov/myaccount/landing-page-generic.html,Manage Your Benefits With A my Social Security Account,23
state.gov/,U.S. Department of State,23
weather.gov/bou/,"Denver/Boulder, CO",23
weather.gov/phi/,"Mount Holly, NJ",23
apps.irs.gov/app/picklist/list/federalrates.html,Index of Applicable Federal Rates (AFR) Rulings,22
census.gov/quickfacts/,QuickFacts,22
dhs.gov/national-terrorism-advisory-system,National Terrorism Advisory System | Homeland Security,22
e-verify.uscis.gov/emp/vislogin.aspx?js=yes,E-Verify - Home Page,22
faq.ssa.gov/link/portal/34011/34019/article/3739/what-happens-if-i-work-and-get-social-security-retirement-benefits,What happens if I work and get Social Security retirement benefits?,22
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 44.95°N and Longitude 93.28°W (Elev. 886 ft),22
gsa.gov/portal/category/100000,GSA Home,22
li-public.fmcsa.dot.gov/liview/pkg_form_cc.prc_cc_edit,Credit Card Page,22
my.usajobs.gov/,USAJOBS - The Federal Government’s Official Jobs Site,22
my.usajobs.gov/applicant/savedjobs/listsavedjobs,USAJOBS - Saved Jobs,22
nfc.usda.gov/clientservices/hr_payroll/index.php,HR and Payroll Client Services | National Finance Center,22
nps.gov/maps/embed.html?mapid=f0cc55f0-99a6-4be4-a4d8-b9cbdb5931db,Maps | National Park Service,22
onboarding.usastaffing.gov/default.aspx,Home Page,22
portal.hud.gov/hudportal/hud?src=/topics/homes_for_sale,Homes for Sale/U.S. Department of Housing and Urban Development (HUD),22
socialsecurity.gov/forms/,Forms,22
spotthestation.nasa.gov/sightings/index.cfm,NASA-SpotTheStation,22
ssai.usajobs.gov/,USAJOBS - The Federal Government’s Official Jobs Site,22
travel.state.gov/content/visas/en/immigrate/immigrant-process/documents/step_4_collect_financial_documents.html,Collect Financial Documents,22
travel.state.gov/content/visas/en/law-and-policy/bulletin/2016/visa-bulletin-for-december-2015.html,Visa Bulletin For December 2015,22
uscis.gov/es,Espanol Homepage | USCIS,22
acquisition.gov/,Federal Acquisition Regulation (FAR) | Acquisition.GOV,21
aloha.gsa.gov/,ALOHA home page | GSA ALOHA,21
cdc.gov/hand-foot-mouth/,Hand Foot and Mouth Disease | Home | HFMD | CDC,21
cdc.gov/mmwr/preview/mmwrhtml/mm6449a2.htm?s_cid=mm6449a2_e,"Rabies in a Dog Imported from Egypt with a Falsified Rabies Vaccination Certificate — Virginia, 2015",21
cdc.gov/nhsn/,NHSN | CDC,21
cdc.gov/spanish/especialescdc/sintomastuberculosis/,Enfermedad de tuberculosis (TB): Síntomas y factores de riesgo - Especiales CDC - CDC en Español,21
cdc.gov/vaccines/schedules/hcp/imz/child-adolescent.html,Birth-18 Years Immunization Schedule | CDC,21
ceac.state.gov/ivapp/ivapp/complete/complete_contact.aspx?node=addressphone1,Immigrant Visa - Present and Previous Address Information,21
census.gov/foreign-trade/schedules/b/index.html,Foreign trade - Schedule B,21
data.bls.gov/pdq/surveyoutputservlet,Bureau of Labor Statistics Data,21
e-verify.uscis.gov/emp/verify.aspx,E-Verify - Initial Verification - Document Name and State,21
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 37.69°N and Longitude 97.34°W,21
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 40.02°N and Longitude 105.25°W (Elev. 5358 ft),21
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 42.36°N and Longitude 71.07°W (Elev. 13 ft),21
identitytheft.gov/,Identity Theft Recovery Steps | IdentityTheft.gov,21
irs.gov/uac/about-form-4506t,"Form 4506-T, Request for Transcript of Tax Return",21
jpl.nasa.gov/news/news.php?feature=4787,News | NASA Mars Rover Curiosity Reaches Sand Dunes,21
myhealth.va.gov/mhv-portal-web/mhv.portal?_nfpb=true&_windowlabel=downloaddata&downloaddata_actionoverride=/gov/va/med/mhv/usermgmt/downloadyourdata/downloadselectionsreport&_pagelabel=downloaddata,My HealtheVet,21
nlm.nih.gov/medlineplus/spanish/ency/article/000292.htm,Hemorroides: MedlinePlus enciclopedia médica,21
spotthestation.nasa.gov/sightings/view.cfm?country=united_kingdom&region=england&city=london,NASA-SpotTheStation,21
studentaid.ed.gov/sa/types/grants-scholarships/pell,Federal Pell Grants | Federal Student Aid,21
travel.state.gov/content/passports/en/contact-us.html,Contact Us,21
treasury.gov/resource-center/sanctions/sdn-list/pages/default.aspx,Specially Designated Nationals List (SDN),21
treasury.gov/tigta/contact_report_scam_ok.shtml,Contact: IRS Impersonation Scam Reporting - U.S. Treasury Inspector General for Tax Administration (TIGTA),21
usitc.gov/2015_htsa_basic_edition.htm,2015 HTSA Basic Edition | USITC,21
weather.gov/lwx/,"Sterling, VA",21
weather.gov/satellite,Satellite Images,21
wrh.noaa.gov/sgx/,National Weather Service - NWS San Diego,21
bhs.econ.census.gov/bhs/ase/index.html,Annual Survey of Entrepreneurs,20
ceac.state.gov/genniv/common/thankyou.aspx,Consular Electronic Application Center - Thank You,20
ceac.state.gov/genniv/general/complete/complete_securityandbackground4.aspx?node=securityandbackground4,Nonimmigrant Visa - Security and Background: Part 4,20
ceac.state.gov/genniv/help/help.aspx,Nonimmigrant Visa - Help,20
climate.nasa.gov/evidence/,Climate Change: Vital Signs of the Planet: Evidence,20
dea.gov/index.shtml,DEA.gov / Home,20
efast.dol.gov/welcome.html,EFAST2 Filing - Welcome,20
fda.gov/drugs/default.htm,Drugs,20
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 35.48°N and Longitude 97.51°W,20
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 38.89°N and Longitude 77.02°W (Elev. 20 ft),20
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 45.53°N and Longitude 122.67°W (Elev. 200 ft),20
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 46.73°N and Longitude 117.17°W (Elev. 2556 ft),20
ftc.gov/enforcement/rules/rulemaking-regulatory-reform-proceedings/childrens-online-privacy-protection-rule,"Children's Online Privacy Protection Rule (""COPPA"") | Federal Trade Commission",20
gsaauctions.gov/gsaauctions/aucindx/,"GSA Auctions, General Services Administration, Government Site for Auctions",20
irs.gov/payments/finding-out-how-much-you-owe,Finding Out How Much You Owe,20
"irs.gov/retirement-plans/plan-participant,-employee/retirement-topics-401k-and-profit-sharing-plan-contribution-limits",Retirement Topics - 401(k) and Profit-Sharing Plan Contribution Limits,20
irs.gov/tax-professionals/standard-mileage-rates/,Standard Mileage Rates,20
justice.gov/opa/pr/operation-software-slashers-six-defendants-plead-guilty-100-million-software-piracy-scheme,Operation Software Slashers: Six Defendants Plead Guilty to $100 Million Software Piracy Scheme | OPA | Department of Justice,20
nasa.gov/feature/nasa-and-star-wars-the-connections-are-strong-in-this-one/,NASA and Star Wars: The Connections Are Strong in This One | NASA,20
nces.ed.gov/nceskids/createagraph/,Create A Graph,20
nlm.nih.gov/medlineplus/spanish/ency/article/003684.htm,Examen de la hormona estimulante de la tiroides (TSH): MedlinePlus enciclopedia médica,20
nlm.nih.gov/medlineplus/spanish/ency/patientinstructions/000386.htm,Exámenes de colesterol y sus resultados: MedlinePlus enciclopedia médica,20
opm.gov/policy-data-oversight/classification-qualifications/classifying-general-schedule-positions/,Classifying General Schedule Positions,20
ssa.gov/forms/,Forms,20
studentaid.ed.gov/sa/fafsa/estimate,Estimate Your Aid | Federal Student Aid,20
teas.uspto.gov/office/teas.service,Response To Office Action,20
travel.state.gov/content/passports/en/passports/information/where-to-apply/agencies.html,Passport Agencies,20
travel.state.gov/content/passports/en/passports/services/correction.html,Change or Correct a Passport,20
travel.state.gov/content/visas/en.html,U.S. Visa,20
usajobs.gov/account/forgotpassword,USAJOBS - I forgot,20
usastaffing.opm.gov/usastaffing/default.aspx,USA Staffing®,20
uscis.gov/i-539,Application To Extend/Change Nonimmigrant Status | USCIS,20
weather.gov/satellite?image=ir,Satellite Images,20
apps.irs.gov/app/withholdingcalculator/index2.jsp,2015 Withholding Calculator,19
blog.ed.gov/2015/12/your-federal-student-loans-just-got-easier-to-repaye/?sf43283459=1,Your Federal Student Loans Just Got Easier to REPAYE | ED.gov Blog,19
cdc.gov/std/syphilis/stdfact-syphilis.htm,STD Facts - Syphilis,19
ceac.state.gov/genniv/general/complete/complete_securityandbackground1.aspx?node=securityandbackground1,Nonimmigrant Visa - Security and Background: Part 1,19
choosemyplate.gov/supertracker-other-tools,SuperTracker & Other Tools | Choose MyPlate,19
eauth.va.gov/ebenefits/vonapp,Veteran On-Line Application (VONAPP) - eBenefits,19
ed.gov/,Home | U.S. Department of Education,19
faq.ssa.gov/ics/support/default.asp?deptid=34019&_referrer=,Frequently Asked Questions,19
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 37.67°N and Longitude 121.75°W (Elev. 558 ft),19
ftccomplaintassistant.gov/gettingstarted,GettingStarted - FTC Complaint Assistant,19
ic3.gov/default.aspx,Internet Crime Complaint Center (IC3) | Home,19
irs.gov/retirement-plans/retirement-plans-faqs-regarding-seps-contributions,SEP Plan FAQs - Contributions,19
irs.gov/uac/report-phishing,Report Phishing and Online Scams,19
locator.ice.gov/odls/searchbyname.do,Online Detainee Locator System,19
nlm.nih.gov/medlineplus/spanish/ency/article/000521.htm,Infección urinaria en adultos: MedlinePlus enciclopedia médica,19
nsopw.gov/en/search,Search,19
nwrfc.noaa.gov/rfc/,Northwest River Forecast Center,19
opm.gov/policy-data-oversight/classification-qualifications/general-schedule-qualification-standards/,General Schedule Qualification Standards,19
socialsecurity.gov/disabilityssi/,Social Security Disability Benefits - Online Application Information,19
ssa.gov/disability/professionals/bluebook/12.00-mentaldisorders-adult.htm,12.00-Mental Disorders-Adult,19
store.usgs.gov/b2c_usgs/usgs/maplocator/(ctype=areadetails&xcm=r3standardpitrex_prd&carea=$root&layout=6_1_61_48&uiarea=2)/.do,"The USGS Store - One stop shop for all your maps, world, United States, state, wall decor, historic, planetary, topographic, trail, hiking, foreign, satellite, digital",19
transportation.gov/,Department of Transportation,19
travel.state.gov/content/visas/en/immigrate/immigrant-process/approved/checkdate.html,Check Priority Date,19
travel.state.gov/content/visas/en/visit/visa-waiver-program.html,Visa Waiver Program,19
tsa.gov/travel/travel-tips,Travel Tips | Transportation Security Administration,19
uscis.gov/greencard,Green Card | USCIS,19
uscis.gov/i-751,Petition to Remove Conditions on Residence | USCIS,19
weather.gov/akq/,"Wakefield, VA",19
wrh.noaa.gov/mso/,National Weather Service - Missoula MT,19
wrh.noaa.gov/pih/,National Weather Service - NWS Pocatello,19
ada.gov/,ADA.gov homepage,18
ams.usda.gov/market-news/daily-beef-reports,Daily Beef Reports | Agricultural Marketing Service,18
archives.gov/exhibits/charters/constitution_amendments_11-27.html,The Constitution of the United States: Amendments 11-27,18
cbp.gov/contact,Contact Us | U.S. Customs and Border Protection,18
cdc.gov/lyme/,Lyme Disease | Lyme Disease | CDC,18
cdc.gov/std/hpv/stdfact-hpv-and-men.htm,STD Facts - HPV and Men,18
cdc.gov/std/spanish/vph/stdfact-hpv-and-men-s.htm,El VPH y los hombres - Enfermedades de transmisión sexual,18
ceac.state.gov/ivapp/ivapp/complete/complete_family1.aspx?node=parents,Immigrant Visa - Family Information: Parents,18
climate.nasa.gov/,NASA: Climate Change and Global Warming,18
data.bls.gov/timeseries/lns14000000,Bureau of Labor Statistics Data,18
e-verify.uscis.gov/emp/verify.aspx,E-Verify - Initial Verification - Select Document,18
energystar.gov/,ENERGY STAR | The Simple Choice for Energy Efficiency,18
faq.ssa.gov/ics/support/kbanswer.asp?questionid=3705,Selected Topic,18
faq.ssa.gov/ics/support/ticketnewwizard.asp?style=classic,Email Our Support Team,18
faq.ssa.gov/link/portal/34011/34019/article/3749/how-do-i-change-or-correct-my-name-on-my-social-security-number-card,How do I change or correct my name on my Social Security number card?,18
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 37.77°N and Longitude 122.41°W (Elev. 131 ft),18
fpds.gov/fpdsng_cms/index.php/en/,Federal Procurement Data System - Next Generation,18
help.usajobs.gov/index.php/main_page,USAJOBS Help,18
hhs.gov/healthcare/,Health Care | HHS.gov,18
irs.gov/affordable-care-act/employers/questions-and-answers-on-employer-shared-responsibility-provisions-under-the-affordable-care-act,Questions and Answers on Employer Shared Responsibility Provisions Under the Affordable Care Act,18
irs.gov/businesses/small-businesses-&-self-employed/how-to-apply-for-an-ein,How to Apply for an EIN,18
irs.gov/retirement-plans/amount-of-roth-ira-contributions-that-you-can-make-for-2015,Amount of Roth IRA Contributions That You Can Make For 2015,18
"irs.gov/retirement-plans/plan-participant,-employee/retirement-topics-required-minimum-distributions-(rmds)",Retirement Topics - Required Minimum Distributions (RMDs),18
locator.ice.gov/odls/homepage.do,Online Detainee Locator System,18
locator.ice.gov/odls/searchbyaliennumber.do,Online Detainee Locator System,18
my.uscis.gov/prep/test/civics/view,USCIS - Test Results,18
nces.ed.gov/,"National Center for Education Statistics (NCES) Home Page, a part of the U.S. Department of Education",18
nces.ed.gov/collegenavigator/,College Navigator - National Center for Education Statistics,18
nlm.nih.gov/medlineplus/spanish/ency/article/000458.htm,Cálculos renales: MedlinePlus enciclopedia médica,18
nlm.nih.gov/medlineplus/spanish/ency/article/000914.htm,Miomas uterinos: MedlinePlus enciclopedia médica,18
nps.gov/yose/index.htm,Yosemite National Park (U.S. National Park Service),18
nsopw.gov/en-us/search,Search,18
pafc.arh.noaa.gov/mesonet.php,"National Weather Service, Anchorage Forecast Office Mesonet",18
public-prod-elis2.uscis.dhs.gov/efile/app/app/#!/,USCIS,18
selectionmanager.usastaffing.gov/,Home,18
sm.myhealth.va.gov/mhv-sm-web/leftnav.action,My HealtheVet - Secure Messaging - Sent,18
smclinician.myhealth.va.gov/mhv-sm-web/savemessageastiu.action,My HealtheVet - Secure Messaging - Read Message,18
spanish.argentina.usembassy.gov/mobile//job_opportunities.html,"Oficina de Recursos Humanos | Buenos Aires, Argentina - Embajada de los Estados Unidos",18
travel.state.gov/content/passports/en/alertswarnings.html,Alerts and Warnings,18
travel.state.gov/content/passports/en/passports/services/expedited.html,Get a Passport in a Hurry,18
uscis.gov/ar-11,Change of Address | USCIS,18
uscis.gov/citizenship/teachers/educational-products/100-civics-questions-and-answers-mp3-audio-english-version,100 Civics Questions and Answers with MP3 Audio (English version) | USCIS,18
uscis.gov/file-online,File Online | USCIS,18
weather.gov/eax/,"Kansas City/Pleasant Hill, MO",18
whitehouse.gov/blog,The White House Blog | whitehouse.gov,18
wrh.noaa.gov/pqr/marine/bars_mover.php,"NOAA's National Weather Service Bar Cameras",18
wrh.noaa.gov/satellite/?wfo=pqr,National Weather Service - NWS Portland,18
archives.gov/veterans/military-service-records/standard-form-180.html,"Military Personnel Records, SF-180",17
benefits.va.gov/gibill/post911_gibill.asp,Post-9/11 GI Bill - Education and Training,17
benefits.va.gov/warms/pam26_7.asp,Lenders Handbook - VA Pamphlet 26-7 - Web Automated Reference Material System,17
cdc.gov/nchs/fastats/leading-causes-of-death.htm,FastStats - Leading Causes of Death,17
cdc.gov/spanish/especialescdc/escarlatina/,Escarlatina: Una infección estreptocócica del grupo A - Especiales CDC - CDC en Español,17
consumerfinance.gov/regulations/,Regulations > Consumer Financial Protection Bureau,17
dol.gov/ebsa/faqs/faq-consumer-cobra.html,FAQs about COBRA Continuation Health Coverage,17
drugabuse.gov/publications/drugfacts/mdma-ecstasy-or-molly,DrugFacts: MDMA (Ecstasy or Molly) | National Institute on Drug Abuse (NIDA),17
eauth.va.gov/wssweb/wss-common-webparts/mvc/downloadletters,Letter Generator - Download VA Letters,17
egov.uscis.gov/casestatus/displaylogon.do,myUSCIS - Login,17
faa.gov/uas/faq/,Unmanned Aircraft Systems (UAS) Frequently Asked Questions,17
faa.gov/uas/model_aircraft/,Model Aircraft Operations,17
ferc.gov/docs-filing/elibrary.asp,FERC: Documents & Filing - FERC Online - eLibrary,17
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 39.96°N and Longitude 75.16°W (Elev. 26 ft),17
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 40.71°N and Longitude 73.98°W (Elev. 26 ft),17
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 47.43°N and Longitude 121.41°W (Elev. 3087 ft),17
irs.gov/publications/p969/ar02.html,"Publication 969 (2014), Health Savings Accounts and Other Tax-Favored Health Plans",17
irs.gov/retirement-plans/charitable-donations-from-iras,Charitable Donations from IRAs,17
irs.gov/uac/how-to-contact-the-irs-1,How to Contact the IRS,17
irs.gov/uac/newsroom/irs-announces-2015-pension-plan-limitations-1,"IRS Announces 2015 Pension Plan Limitations; Taxpayers May Contribute up to $18,000 to their 401(k) plans in 2015",17
myhealth.va.gov/mhv-portal-web/anonymous.portal?_nfpb=true&_nfto=false&_pagelabel=mhvhome,My HealtheVet,17
nasa.gov/feature/ames/ladee/nasa-s-ladee-mission-shows-the-force-of-meteoroid-strikes-on-lunar-exosphere/,LADEE Shows the Force of Meteoroid Strikes on Lunar Exosphere | NASA,17
nasa.gov/multimedia/nasatv/iss_ustream.html,International Space Station on UStream | NASA,17
nlm.nih.gov/medlineplus/spanish/ency/article/000256.htm,Apendicitis : MedlinePlus enciclopedia médica,17
nlm.nih.gov/medlineplus/spanish/ency/article/003079.htm,Dolor torácico: MedlinePlus enciclopedia médica,17
nlm.nih.gov/medlineplus/spanish/ency/article/003120.htm,Dolor abdominal: MedlinePlus enciclopedia médica,17
nlm.nih.gov/medlineplus/spanish/ency/patientinstructions/000424.htm,Signos de peligro con los dolores de cabeza: MedlinePlus enciclopedia médica,17
opm.gov/forms/standard-forms/,Standard Forms,17
opm.gov/policy-data-oversight/data-analysis-documentation/personnel-documentation/,Personnel Documentation,17
petitions.whitehouse.gov/petition/bring-charges-treason-upon-barack-hussein-obama,Bring charges of treason upon Barack Hussein Obama | We the People: Your Voice in Our Government,17
petitions.whitehouse.gov/petition/nominate-brandon-stanton-creator-humansofnewyorkcom-nobel-peace-prize,"nominate Brandon Stanton, creator of HumansofNewYork.com, for the Nobel Peace Prize. | We the People: Your Voice in Our Government",17
spc.noaa.gov/products/wwa/,"NWS - Watch, Warning, Advisory Display",17
ssa.gov/planners/taxes.html,Benefits Planner: Income Taxes And Your Social Security Benefits,17
ssa.gov/ssi/,Supplemental Security Income,17
travel.state.gov/content/passports/en/alertswarnings/mexico-travel-warning.html,Mexico Travel Warning,17
travel.state.gov/content/visas/en/general/wait-times.html,Visa Appointment & Processing Wait Times,17
tsa.gov/for-industry/twic,TWIC® | Transportation Security Administration,17
usahire.opm.gov/do/opmirt1,USA Hire,17
usajobs.gov/applicant/resume/uploadsecureresume,USAJOBS - Resumes,17
uscis.gov/i-9-central/acceptable-documents/acceptable-documents,Acceptable Documents | USCIS,17
usembassy.gov/,Home | USEmbassy.gov,17
weather.gov/mkx/,"Milwaukee/Sullivan, WI",17
wrh.noaa.gov/lox/,National Weather Service - NWS Los Angeles/Oxnard,17
apod.nasa.gov/apod/ap151217.html,APOD: 2015 December 17 - Geminids of the South,16
apps.irs.gov/app/fatcaffilist/flu.jsf,Fatca Lookup Search Page,16
blog.ed.gov/2015/12/your-federal-student-loans-just-got-easier-to-repaye/,Your Federal Student Loans Just Got Easier to REPAYE | ED.gov Blog,16
bop.gov/inmates/communications.jsp,BOP: Community Ties,16
cbp.gov/travel/international-visitors/esta,Electronic System for Travel Authorization | U.S. Customs and Border Protection,16
cdc.gov/std/spanish/gonorrea/stdfact-gonorrhea-s.htm,Gonorrea - Enfermedades de transmisión sexual,16
cdc.gov/vaccines/hcp/vis/index.html,Vaccine Information Statement | Home | VIS | CDC,16
ceac.state.gov/ctrac/invoice/signout.aspx,Sign Out Page,16
ceac.state.gov/genniv/general/complete/complete_securityandbackground5.aspx?node=securityandbackground5,Nonimmigrant Visa - Security and Background: Part 5,16
